Salario;lat;lon;Cidade
9.54;-199.758;-438.509;Nova Lima
9.54;-201.446;-448.912;Divinopolis
9.54;-199.102;-439.266;Belo Horizonte
9.54;-215.289;-424.676;Recreio
9.54;-199.102;-439.266;Belo Horizonte
9.54;-215.296;-426.421;Leopoldina
9.54;-195.902;-469.438;Araxa
9.54;-200.252;-440.569;Ibirite
9.54;-195.902;-469.438;Araxa
9.54;-215.296;-426.421;Leopoldina
9.54;-199.102;-439.266;Belo Horizonte
9.54;-199.102;-439.266;Belo Horizonte
9.54;-213.924;-426.896;Cataguases
9.54;-213.924;-426.896;Cataguases
9.54;-215.296;-426.421;Leopoldina
9.54;-200.252;-440.569;Ibirite
9.54;-19.764;-443.065;Esmeraldas
9.54;-197.868;-421.292;Caratinga
9.54;-195.902;-469.438;Araxa
9.54;-199.321;-440.539;Contagem
9.54;-195.902;-469.438;Araxa
9.54;-213.694;-455.109;Tres Pontas
9.54;-199.102;-439.266;Belo Horizonte
9.54;-199.102;-439.266;Belo Horizonte
9.54;-199.102;-439.266;Belo Horizonte
9.54;-212.324;-45.235;Nepomuceno
9.54;-215.296;-426.421;Leopoldina
9.54;-215.289;-424.676;Recreio
9.54;-195.179;-426.276;Coronel Fabriciano
9.54;-206.982;-44.829;Oliveira
9.54;-199.758;-438.509;Nova Lima
9.54;-195.902;-469.438;Araxa
9.54;-195.179;-426.276;Coronel Fabriciano
9.54;-195.902;-469.438;Araxa
9.54;-213.924;-426.896;Cataguases
9.54;-201.446;-448.912;Divinopolis
9.54;-199.102;-439.266;Belo Horizonte
9.54;-195.902;-469.438;Araxa
9.54;-218.797;-427.176;Alem ParaIba
9.54;-196.914;-461.725;Campos Altos
9.54;-185.699;-465.013;Patos de Minas
9.54;-198.433;-427.701;DionIsio
9.54;-195.902;-469.438;Araxa
9.54;-215.296;-426.421;Leopoldina
9.54;-195.902;-469.438;Araxa
9.54;-19.764;-443.065;Esmeraldas
9.54;-199.102;-439.266;Belo Horizonte
9.54;-199.102;-439.266;Belo Horizonte
9.54;-195.902;-469.438;Araxa
9.54;-199.102;-439.266;Belo Horizonte
9.54;-199.102;-439.266;Belo Horizonte
9.54;-199.102;-439.266;Belo Horizonte
9.54;-195.902;-469.438;Araxa
9.54;-195.902;-469.438;Araxa
9.54;-203.399;-440.509;Moeda
9.65;-198.713;-449.847;Nova Serrana
9.66;-195.811;-426.471;Timoteo
9.67;-195.811;-426.471;Timoteo
9.67;-199.102;-439.266;Belo Horizonte
9.69;-195.902;-469.438;Araxa
9.80;-213.924;-426.896;Cataguases
9.80;-213.924;-426.896;Cataguases
9.84;-199.102;-439.266;Belo Horizonte
9.87;-199.668;-442.008;Betim
9.89;-187.527;-444.303;Curvelo
9.89;-213.924;-426.896;Cataguases
9.90;-215.556;-454.364;Varginha
9.90;-200.252;-440.569;Ibirite
9.95;-200.818;-445.801;Itaúna
9.98;-199.102;-439.266;Belo Horizonte
9.98;-212.324;-45.235;Nepomuceno
10.0;-199.102;-439.266;Belo Horizonte
10.0;-212.324;-45.235;Nepomuceno
10.0;-195.902;-469.438;Araxa
10.0;-199.321;-440.539;Contagem
10.0;-195.902;-469.438;Araxa
10.0;-195.811;-426.471;Timoteo
10.0;-199.102;-439.266;Belo Horizonte
10.0;-215.556;-454.364;Varginha
10.0;-21.248;-450.009;Lavras
10.0;-195.902;-469.438;Araxa
10.0;-201.446;-448.912;Divinopolis
10.0;-215.556;-454.364;Varginha
10.0;-200.252;-440.569;Ibirite
10.0;-199.102;-439.266;Belo Horizonte
10.2;-195.902;-469.438;Araxa
10.5;-212.324;-45.235;Nepomuceno
10.10;-199.321;-440.539;Contagem
10.10;-199.102;-439.266;Belo Horizonte
10.10;-201.446;-448.912;Divinopolis
10.14;-195.179;-426.276;Coronel Fabriciano
10.14;-193.434;-472.963;Perdizes
10.20;-215.296;-426.421;Leopoldina
10.20;-215.296;-426.421;Leopoldina
10.20;-213.924;-426.896;Cataguases
10.20;-215.296;-426.421;Leopoldina
10.22;-215.296;-426.421;Leopoldina
10.23;-199.822;-448.593;Sao Gonçalo do Para
10.25;-195.902;-469.438;Araxa
10.25;-215.556;-454.364;Varginha
10.25;-215.556;-454.364;Varginha
10.25;-195.902;-469.438;Araxa
10.25;-215.556;-454.364;Varginha
10.25;-195.811;-426.471;Timoteo
10.25;-215.556;-454.364;Varginha
10.25;-215.556;-454.364;Varginha
10.25;-195.811;-426.471;Timoteo
10.25;-215.556;-454.364;Varginha
10.30;-195.902;-469.438;Araxa
10.30;-195.902;-469.438;Araxa
10.30;-199.166;-468.264;Tapira
10.30;-195.902;-469.438;Araxa
10.30;-195.902;-469.438;Araxa
10.30;-195.902;-469.438;Araxa
10.30;-195.902;-469.438;Araxa
10.30;-195.902;-469.438;Araxa
10.30;-195.902;-469.438;Araxa
10.30;-195.902;-469.438;Araxa
10.30;-195.902;-469.438;Araxa
10.30;-199.102;-439.266;Belo Horizonte
10.30;-199.102;-439.266;Belo Horizonte
10.33;-213.694;-455.109;Tres Pontas
10.37;-199.321;-440.539;Contagem
10.37;-195.902;-469.438;Araxa
10.37;-195.811;-426.471;Timoteo
10.37;-195.811;-426.471;Timoteo
10.45;-217.579;-455.391;Monsenhor Paulo
10.45;-199.102;-439.266;Belo Horizonte
10.46;-199.321;-440.539;Contagem
10.47;-195.811;-426.471;Timoteo
10.47;-185.699;-465.013;Patos de Minas
10.48;-196.971;-439.586;Sao Jose da Lapa
10.50;-199.102;-439.266;Belo Horizonte
10.50;-205.575;-448.735;Carmo da Mata
10.50;-210.927;-455.612;Boa Esperança
10.50;-197.868;-421.292;Caratinga
10.50;-199.102;-439.266;Belo Horizonte
10.50;-187.527;-444.303;Curvelo
10.50;-199.668;-442.008;Betim
10.50;-208.932;-452.699;Campo Belo
10.50;-212.449;-455.005;Santana da Vargem
10.50;-212.449;-455.005;Santana da Vargem
10.50;-214.633;-452.201;Carmo da Cachoeira
10.50;-199.102;-439.266;Belo Horizonte
10.50;-199.102;-439.266;Belo Horizonte
10.50;-194.749;-465.474;Ibia
10.50;-216.921;-452.511;Tres Coracoes
10.50;-219.671;-453.498;Lambari
10.50;-187.507;-449.004;Felixlandia
10.50;-172.828;-427.285;Turmalina
10.50;-21.854;-452.896;Cambuquira
10.51;-199.102;-439.266;Belo Horizonte
10.55;-220.685;-452.657;OlImpio Noronha
10.60;-198.433;-427.701;DionIsio
10.61;-195.902;-469.438;Araxa
10.64;-21.869;-433.135;Matias Barbosa
10.65;-215.556;-454.364;Varginha
10.65;-215.556;-454.364;Varginha
10.65;-21.248;-450.009;Lavras
10.69;-195.811;-426.471;Timoteo
10.69;-195.811;-426.471;Timoteo
10.70;-201.446;-448.912;Divinopolis
10.71;-199.102;-439.266;Belo Horizonte
10.71;-199.102;-439.266;Belo Horizonte
10.71;-199.102;-439.266;Belo Horizonte
10.71;-199.102;-439.266;Belo Horizonte
10.73;-215.556;-454.364;Varginha
10.74;-195.811;-426.471;Timoteo
10.77;-195.902;-469.438;Araxa
10.80;-199.102;-439.266;Belo Horizonte
10.80;-21.869;-433.135;Matias Barbosa
10.80;-199.166;-468.264;Tapira
10.80;-21.869;-433.135;Matias Barbosa
10.81;-201.446;-448.912;Divinopolis
10.83;-199.102;-439.266;Belo Horizonte
10.90;-199.102;-439.266;Belo Horizonte
10.90;-217.595;-433.398;Juiz de Fora
10.90;-199.102;-439.266;Belo Horizonte
10.92;-199.102;-439.266;Belo Horizonte
10.94;-199.758;-438.509;Nova Lima
10.94;-199.102;-439.266;Belo Horizonte
11.0;-199.102;-439.266;Belo Horizonte
11.0;-199.102;-439.266;Belo Horizonte
11.0;-199.102;-439.266;Belo Horizonte
11.0;-215.296;-426.421;Leopoldina
11.0;-199.102;-439.266;Belo Horizonte
11.0;-215.296;-426.421;Leopoldina
11.0;-199.102;-439.266;Belo Horizonte
11.0;-199.102;-439.266;Belo Horizonte
11.7;-215.556;-454.364;Varginha
11.10;-195.902;-469.438;Araxa
11.11;-21.248;-450.009;Lavras
11.12;-195.179;-426.276;Coronel Fabriciano
11.12;-194.703;-425.476;Ipatinga
11.12;-195.811;-426.471;Timoteo
11.12;-195.811;-426.471;Timoteo
11.12;-195.179;-426.276;Coronel Fabriciano
11.12;-194.703;-425.476;Ipatinga
11.12;-195.811;-426.471;Timoteo
11.12;-195.811;-426.471;Timoteo
11.22;-199.102;-439.266;Belo Horizonte
11.22;-199.102;-439.266;Belo Horizonte
11.22;-199.102;-439.266;Belo Horizonte
11.26;-194.703;-425.476;Ipatinga
11.28;-199.102;-439.266;Belo Horizonte
11.36;-20.151;-442.007;Brumadinho
11.44;-215.556;-454.364;Varginha
11.44;-215.556;-454.364;Varginha
11.50;-199.102;-439.266;Belo Horizonte
11.50;-201.446;-448.912;Divinopolis
11.50;-199.102;-439.266;Belo Horizonte
11.50;-199.102;-439.266;Belo Horizonte
11.50;-199.102;-439.266;Belo Horizonte
11.50;-199.102;-439.266;Belo Horizonte
11.50;-199.102;-439.266;Belo Horizonte
11.50;-213.924;-426.896;Cataguases
11.50;-199.102;-439.266;Belo Horizonte
11.50;-199.102;-439.266;Belo Horizonte
11.50;-199.102;-439.266;Belo Horizonte
11.50;-199.102;-439.266;Belo Horizonte
11.50;-199.102;-439.266;Belo Horizonte
11.50;-199.102;-439.266;Belo Horizonte
11.52;-199.321;-440.539;Contagem
11.54;-199.102;-439.266;Belo Horizonte
11.57;-199.668;-442.008;Betim
11.59;-199.668;-442.008;Betim
11.60;-199.102;-439.266;Belo Horizonte
11.66;-194.742;-441.591;Prudente de Morais
11.70;-187.527;-444.303;Curvelo
11.72;-194.703;-425.476;Ipatinga
11.72;-199.102;-439.266;Belo Horizonte
11.75;-195.902;-469.438;Araxa
11.77;-200.707;-442.994;Igarape
11.80;-216.921;-452.511;Tres Coracoes
11.81;-199.321;-440.539;Contagem
11.85;-213.924;-426.896;Cataguases
11.85;-213.924;-426.896;Cataguases
11.90;-195.902;-469.438;Araxa
11.90;-195.902;-469.438;Araxa
11.96;-215.556;-454.364;Varginha
12.0;-199.102;-439.266;Belo Horizonte
12.0;-215.556;-454.364;Varginha
12.0;-195.902;-469.438;Araxa
12.0;-199.102;-439.266;Belo Horizonte
12.0;-199.668;-442.008;Betim
12.0;-199.102;-439.266;Belo Horizonte
12.0;-215.296;-426.421;Leopoldina
12.0;-199.102;-439.266;Belo Horizonte
12.0;-199.102;-439.266;Belo Horizonte
12.0;-199.102;-439.266;Belo Horizonte
12.0;-199.102;-439.266;Belo Horizonte
12.0;-199.102;-439.266;Belo Horizonte
12.0;-199.102;-439.266;Belo Horizonte
12.0;-215.296;-426.421;Leopoldina
12.0;-193.434;-472.963;Perdizes
12.0;-199.668;-442.008;Betim
12.0;-199.321;-440.539;Contagem
12.0;-201.446;-448.912;Divinopolis
12.0;-217.595;-433.398;Juiz de Fora
12.0;-195.179;-426.276;Coronel Fabriciano
12.0;-194.749;-465.474;Ibia
12.0;-195.811;-426.471;Timoteo
12.0;-199.102;-439.266;Belo Horizonte
12.0;-224.225;-454.598;Itajuba
12.0;-187.527;-444.303;Curvelo
12.0;-199.102;-439.266;Belo Horizonte
12.0;-199.102;-439.266;Belo Horizonte
12.0;-215.296;-426.421;Leopoldina
12.0;-196.239;-432.312;Itabira
12.0;-195.902;-469.438;Araxa
12.1;-213.924;-426.896;Cataguases
12.3;-199.102;-439.266;Belo Horizonte
12.5;-199.102;-439.266;Belo Horizonte
12.5;-197.472;-479.381;Uberaba
12.5;-199.102;-439.266;Belo Horizonte
12.6;-199.102;-439.266;Belo Horizonte
12.10;-195.902;-469.438;Araxa
12.15;-195.811;-426.471;Timoteo
12.17;-199.102;-439.266;Belo Horizonte
12.18;-215.296;-426.421;Leopoldina
12.24;-199.102;-439.266;Belo Horizonte
12.24;-194.703;-425.476;Ipatinga
12.24;-199.668;-442.008;Betim
12.24;-200.707;-442.994;Igarape
12.30;-195.902;-469.438;Araxa
12.30;-211.738;-449.233;Ijaci
12.36;-195.902;-469.438;Araxa
12.40;-199.102;-439.266;Belo Horizonte
12.40;-215.296;-426.421;Leopoldina
12.48;-199.102;-439.266;Belo Horizonte
12.48;-187.214;-398.579;Sao Mateus
12.50;-195.902;-469.438;Araxa
12.50;-194.703;-425.476;Ipatinga
12.50;-199.102;-439.266;Belo Horizonte
12.60;-199.668;-442.008;Betim
12.68;-199.668;-442.008;Betim
12.73;-199.102;-439.266;Belo Horizonte
12.74;-199.102;-439.266;Belo Horizonte
12.74;-211.311;-442.526;Sao Joao del Rei
12.76;-199.102;-439.266;Belo Horizonte
12.84;-201.446;-448.912;Divinopolis
12.86;-199.102;-439.266;Belo Horizonte
12.95;-199.102;-439.266;Belo Horizonte
13.0;-199.758;-438.509;Nova Lima
13.0;-199.102;-439.266;Belo Horizonte
13.0;-199.321;-440.539;Contagem
13.0;-195.902;-469.438;Araxa
13.0;-21.931;-426.046;Carmo
13.0;-199.321;-440.539;Contagem
13.0;-199.102;-439.266;Belo Horizonte
13.0;-199.102;-439.266;Belo Horizonte
13.0;-199.102;-439.266;Belo Horizonte
13.0;-195.902;-469.438;Araxa
13.0;-18.369;-444.542;Corinto
13.0;-201.446;-448.912;Divinopolis
13.0;-199.102;-439.266;Belo Horizonte
13.0;-210.932;-450.896;Perdões
13.0;-199.102;-439.266;Belo Horizonte
13.0;-199.668;-442.008;Betim
13.0;-20.085;-452.947;Santo Antonio do Monte
13.0;-196.239;-432.312;Itabira
13.0;-199.102;-439.266;Belo Horizonte
13.3;-229.129;-432.003;Rio de Janeiro
13.11;-195.811;-426.471;Timoteo
13.16;-199.321;-440.539;Contagem
13.24;-200.252;-440.569;Ibirite
13.25;-21.248;-450.009;Lavras
13.26;-204.437;-447.673;Claudio
13.26;-195.902;-469.438;Araxa
13.28;-199.102;-439.266;Belo Horizonte
13.29;-199.321;-440.539;Contagem
13.39;-211.311;-442.526;Sao Joao del Rei
13.40;-199.102;-439.266;Belo Horizonte
13.43;-197.472;-479.381;Uberaba
13.50;-199.102;-439.266;Belo Horizonte
13.50;-199.102;-439.266;Belo Horizonte
13.50;-199.102;-439.266;Belo Horizonte
13.50;-199.102;-439.266;Belo Horizonte
13.50;-199.102;-439.266;Belo Horizonte
13.60;-201.446;-448.912;Divinopolis
13.60;-195.902;-469.438;Araxa
13.60;-215.296;-426.421;Leopoldina
13.64;-195.902;-469.438;Araxa
13.64;-195.902;-469.438;Araxa
13.76;-204.437;-447.673;Claudio
13.81;-199.102;-439.266;Belo Horizonte
13.81;-215.556;-454.364;Varginha
13.84;-215.556;-454.364;Varginha
13.92;-199.102;-439.266;Belo Horizonte
13.93;-199.102;-439.266;Belo Horizonte
13.93;-199.668;-442.008;Betim
13.99;-199.321;-440.539;Contagem
14.0;-195.902;-469.438;Araxa
14.0;-215.556;-454.364;Varginha
14.0;-21.869;-433.135;Matias Barbosa
14.0;-215.556;-454.364;Varginha
14.0;-195.811;-426.471;Timoteo
14.0;-199.102;-439.266;Belo Horizonte
14.0;-200.818;-445.801;Itaúna
14.4;-199.102;-439.266;Belo Horizonte
14.16;-199.102;-439.266;Belo Horizonte
14.26;-199.102;-439.266;Belo Horizonte
14.28;-199.102;-439.266;Belo Horizonte
14.30;-213.924;-426.896;Cataguases
14.30;-213.924;-426.896;Cataguases
14.31;-215.289;-424.676;Recreio
14.31;-201.912;-447.664;Carmo do Cajuru
14.40;-199.102;-439.266;Belo Horizonte
14.41;-199.668;-442.008;Betim
14.50;-195.902;-469.438;Araxa
14.50;-199.102;-439.266;Belo Horizonte
14.50;-199.102;-439.266;Belo Horizonte
14.70;-201.446;-448.912;Divinopolis
14.72;-195.902;-469.438;Araxa
14.72;-195.902;-469.438;Araxa
14.84;-201.446;-448.912;Divinopolis
14.85;-199.102;-439.266;Belo Horizonte
14.88;-199.321;-440.539;Contagem
14.88;-217.595;-433.398;Juiz de Fora
14.91;-199.321;-440.539;Contagem
14.96;-215.556;-454.364;Varginha
15.0;-199.102;-439.266;Belo Horizonte
15.0;-199.102;-439.266;Belo Horizonte
15.0;-199.102;-439.266;Belo Horizonte
15.0;-199.102;-439.266;Belo Horizonte
15.0;-199.102;-439.266;Belo Horizonte
15.0;-199.102;-439.266;Belo Horizonte
15.0;-199.102;-439.266;Belo Horizonte
15.0;-199.102;-439.266;Belo Horizonte
15.0;-199.102;-439.266;Belo Horizonte
15.0;-199.102;-439.266;Belo Horizonte
15.0;-201.446;-448.912;Divinopolis
15.0;-199.102;-439.266;Belo Horizonte
15.0;-199.102;-439.266;Belo Horizonte
15.0;-199.102;-439.266;Belo Horizonte
15.0;-194.569;-442.413;Sete Lagoas
15.0;-199.102;-439.266;Belo Horizonte
15.0;-210.932;-450.896;Perdões
15.0;-195.179;-426.276;Coronel Fabriciano
15.0;-195.811;-426.471;Timoteo
15.0;-199.102;-439.266;Belo Horizonte
15.0;-215.556;-454.364;Varginha
15.22;-199.102;-439.266;Belo Horizonte
15.23;-215.556;-454.364;Varginha
15.30;-199.102;-439.266;Belo Horizonte
15.30;-215.556;-454.364;Varginha
15.34;-199.668;-442.008;Betim
15.45;-195.902;-469.438;Araxa
15.49;-199.668;-442.008;Betim
15.50;-199.102;-439.266;Belo Horizonte
15.52;-199.321;-440.539;Contagem
15.54;-199.102;-439.266;Belo Horizonte
15.62;-199.321;-440.539;Contagem
15.68;-199.758;-438.509;Nova Lima
15.75;-201.446;-448.912;Divinopolis
15.76;-195.902;-469.438;Araxa
15.84;-199.102;-439.266;Belo Horizonte
15.84;-199.102;-439.266;Belo Horizonte
15.90;-216.088;-455.691;Eloi Mendes
15.90;-213.924;-426.896;Cataguases
15.91;-19.764;-443.065;Esmeraldas
15.92;-195.902;-469.438;Araxa
16.0;-229.129;-432.003;Rio de Janeiro
16.0;-229.129;-432.003;Rio de Janeiro
16.0;-215.556;-454.364;Varginha
16.0;-229.129;-432.003;Rio de Janeiro
16.0;-229.129;-432.003;Rio de Janeiro
16.0;-199.102;-439.266;Belo Horizonte
16.0;-229.129;-432.003;Rio de Janeiro
16.0;-201.446;-448.912;Divinopolis
16.0;-201.446;-448.912;Divinopolis
16.0;-199.102;-439.266;Belo Horizonte
16.0;-229.129;-432.003;Rio de Janeiro
16.0;-199.321;-440.539;Contagem
16.11;-195.902;-469.438;Araxa
16.23;-199.102;-439.266;Belo Horizonte
16.27;-199.321;-440.539;Contagem
16.32;-199.102;-439.266;Belo Horizonte
16.45;-199.668;-442.008;Betim
16.50;-199.102;-439.266;Belo Horizonte
16.70;-199.668;-442.008;Betim
16.83;-199.102;-439.266;Belo Horizonte
16.86;-195.902;-469.438;Araxa
16.86;-195.902;-469.438;Araxa
16.92;-195.902;-469.438;Araxa
16.92;-195.902;-469.438;Araxa
16.92;-195.902;-469.438;Araxa
16.96;-215.296;-426.421;Leopoldina
17.0;-198.534;-446.114;Para de Minas
17.0;-211.102;-441.744;Tiradentes
17.0;-200.252;-440.569;Ibirite
17.0;-199.102;-439.266;Belo Horizonte
17.0;-229.129;-432.003;Rio de Janeiro
17.8;-213.924;-426.896;Cataguases
17.13;-199.166;-468.264;Tapira
17.15;-196.883;-439.239;Vespasiano
17.15;-196.883;-439.239;Vespasiano
17.16;-199.321;-440.539;Contagem
17.20;-199.668;-442.008;Betim
17.28;-199.102;-439.266;Belo Horizonte
17.34;-199.102;-439.266;Belo Horizonte
17.40;-199.102;-439.266;Belo Horizonte
17.45;-194.569;-442.413;Sete Lagoas
17.45;-199.102;-439.266;Belo Horizonte
17.50;-199.321;-440.539;Contagem
17.50;-201.446;-448.912;Divinopolis
17.50;-199.102;-439.266;Belo Horizonte
17.51;-215.556;-454.364;Varginha
17.57;-215.556;-454.364;Varginha
17.60;-199.102;-439.266;Belo Horizonte
17.60;-199.102;-439.266;Belo Horizonte
17.60;-199.102;-439.266;Belo Horizonte
17.60;-213.924;-426.896;Cataguases
17.65;-199.102;-439.266;Belo Horizonte
17.80;-211.858;-454.366;Coqueiral
17.85;-195.902;-469.438;Araxa
17.86;-199.321;-440.539;Contagem
17.88;-21.248;-450.009;Lavras
17.99;-199.102;-439.266;Belo Horizonte
18.0;-199.102;-439.266;Belo Horizonte
18.0;-199.102;-439.266;Belo Horizonte
18.0;-213.924;-426.896;Cataguases
18.0;-199.102;-439.266;Belo Horizonte
18.0;-213.924;-426.896;Cataguases
18.0;-213.924;-426.896;Cataguases
18.0;-213.924;-426.896;Cataguases
18.0;-195.902;-469.438;Araxa
18.0;-199.102;-439.266;Belo Horizonte
18.0;-199.102;-439.266;Belo Horizonte
18.0;-213.924;-426.896;Cataguases
18.0;-213.924;-426.896;Cataguases
18.0;-199.102;-439.266;Belo Horizonte
18.0;-215.556;-454.364;Varginha
18.0;-213.924;-426.896;Cataguases
18.2;-199.321;-440.539;Contagem
18.4;-199.102;-439.266;Belo Horizonte
18.11;-199.102;-439.266;Belo Horizonte
18.16;-229.129;-432.003;Rio de Janeiro
18.23;-199.102;-439.266;Belo Horizonte
18.27;-215.556;-454.364;Varginha
18.30;-196.741;-448.964;Pitangui
18.33;-197.472;-479.381;Uberaba
18.37;-195.902;-469.438;Araxa
18.42;-199.668;-442.008;Betim
18.50;-199.102;-439.266;Belo Horizonte
18.50;-199.102;-439.266;Belo Horizonte
18.50;-199.102;-439.266;Belo Horizonte
18.64;-199.321;-440.539;Contagem
18.80;-195.902;-469.438;Araxa
18.80;-195.902;-469.438;Araxa
18.83;-199.102;-439.266;Belo Horizonte
18.83;-199.102;-439.266;Belo Horizonte
18.83;-199.102;-439.266;Belo Horizonte
18.83;-199.102;-439.266;Belo Horizonte
18.85;-199.102;-439.266;Belo Horizonte
18.85;-199.668;-442.008;Betim
18.86;-199.321;-440.539;Contagem
18.90;-199.321;-440.539;Contagem
18.90;-195.902;-469.438;Araxa
18.91;-199.102;-439.266;Belo Horizonte
18.92;-199.321;-440.539;Contagem
18.93;-212.214;-437.703;Barbacena
18.94;-196.883;-439.239;Vespasiano
18.94;-196.883;-439.239;Vespasiano
18.97;-199.102;-439.266;Belo Horizonte
19.0;-199.102;-439.266;Belo Horizonte
19.0;-197.548;-438.497;Santa Luzia
19.6;-201.446;-448.912;Divinopolis
19.8;-201.446;-448.912;Divinopolis
19.8;-198.126;-431.735;Joao Monlevade
